	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
53	5000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
54	100000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
55	500000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
56	1.0	0.9529296383200324	4.816225650525047	1.0	1.6620639565557471	1.0	5923177.0	10	5	10-5
57	50.0	0.9565885529558064	14.257028362590509	6.0	2.0	2.0	4367020.0	10	5	10-5
58	100.0	0.960588262156154	35.69280573382016	29.0	3.0	2.0	3034347.0	10	5	10-5
59	500.0	0.974851458591138	294.93032310840204	342.0	10.0	8.0	931514.0	10	5	10-5
60	1000.0	0.981269869964178	673.2383235800411	791.0	19.0	14.0	517603.0	10	5	10-5
61	5000.0	0.9921612798751638	4039.843328565168	4624.0	81.0	67.0	120941.0	10	5	10-5
62	10000.0	0.9949965913496116	8448.314892538685	9527.0	155.0	134.0	63139.0	10	5	10-5
63	50000.0	0.9943462411106176	38117.03464863811	48422.0	639.0	620.0	15383.0	10	5	10-5
64	100000.0	0.9908962377818392	61980.78968253968	87608.5	1028.0	1029.0	9576.0	10	5	10-5
65	500000.0	0.9790426780508756	113310.81465354032	28784.5	1863.0	502.0	5282.0	10	5	10-5
66	1000000.0	0.9772645234608704	120588.2064035441	23567.0	1982.0	424.0	4966.0	10	5	10-5
67	5000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
68	100000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
69	500000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
70	1.0	0.9388228196833674	4.53426954660187	1.0	1.6214818018319854	1.0	9360118.0	5	5	5-5
71	50.0	0.9457192387313778	16.41199903464309	10.0	2.0	2.0	6368629.0	5	5	5-5
72	100.0	0.9528035796936044	43.63331160723247	45.0	3.0	3.0	4094921.0	5	5	5-5
73	500.0	0.9741700550718232	344.72704023662567	398.0	13.0	11.0	1091344.0	5	5	5-5
74	1000.0	0.9819962279130198	766.170648528664	876.0	26.0	22.0	582056.0	5	5	5-5
75	5000.0	0.9930210116240912	4428.38911878488	4831.0	120.0	110.0	126144.0	5	5	5-5
76	10000.0	0.9951612474089758	9029.367455283424	9804.0	234.0	221.0	64797.0	5	5	5-5
77	50000.0	0.993514747651196	38186.7370500439	49381.5	951.0	971.0	15946.0	5	5	5-5
78	100000.0	0.9889485855268358	60652.22463552514	82099.0	1505.0	1548.0	10083.0	5	5	5-5
79	500000.0	0.9758089587927964	106558.0114623133	23468.5	2635.0	544.0	5758.0	5	5	5-5
80	1000000.0	0.9740734723758449	112810.59577205882	20420.5	2789.0	464.0	5440.0	5	5	5-5
81	5000000.0	0.9738631730138664	113775.2793845013	19900.0	2813.0	451.0	5394.0	5	5	5-5
82	100000000.0	0.9738631730138664	113775.2793845013	19900.0	2813.0	451.0	5394.0	5	5	5-5
83	500000000.0	0.9738631730138664	113775.2793845013	19900.0	2813.0	451.0	5394.0	5	5	5-5
84	1.0	0.9222975856293364	4.499549559934836	1.0	1.6219322649496404	1.0	10453111.0	q95	1	q95-1
85	50.0	0.9306425823640896	16.831829499990736	11.0	2.0	2.0	7016070.0	q95	1	q95-1
86	100.0	0.9393961176212866	45.19646631246195	48.0	3.0	3.0	4449969.0	q95	1	q95-1
87	500.0	0.9665715548939768	364.0693838028324	415.0	14.0	13.0	1133939.0	q95	1	q95-1
88	1000.0	0.9764495945331128	806.8098491548121	903.0	28.0	25.0	593655.0	q95	1	q95-1
89	5000.0	0.9896729238579742	4517.263609885469	4878.0	133.0	125.0	126691.0	q95	1	q95-1
90	10000.0	0.991352829382356	9104.316939555296	9861.0	260.0	250.0	65167.0	q95	1	q95-1
91	50000.0	0.9824326022167912	37753.489877545995	49590.0	1043.0	1069.0	16251.0	q95	1	q95-1
92	100000.0	0.9683817621885336	59329.49956626506	76109.0	1634.0	1660.0	10375.0	q95	1	q95-1
93	500000.0	0.9361220007393188	102109.69386066524	20917.0	2805.0	450.0	6043.0	q95	1	q95-1
94	1000000.0	0.9322704713726429	107779.31435557108	18032.0	2960.0	377.0	5726.0	q95	1	q95-1
95	5000000.0	0.9318209745913146	108655.03362676056	17586.5	2984.0	367.0	5680.0	q95	1	q95-1
96	100000000.0	0.9318209745913146	108655.03362676056	17586.5	2984.0	367.0	5680.0	q95	1	q95-1
97	500000000.0	0.9318209745913146	108655.03362676056	17586.5	2984.0	367.0	5680.0	q95	1	q95-1
98	1.0	0.9340696894209146	4.46192856299104	1.0	1.6129587234915272	1.0	9659223.0	q95	5	q95-5
99	50.0	0.9421784865317624	16.70772417857787	11.0	2.0	2.0	6491577.0	q95	5	q95-5
100	100.0	0.9502755151079924	44.670899398188226	47.0	3.0	3.0	4133186.0	q95	5	q95-5
101	500.0	0.973093090968602	348.30605772687585	402.0	14.0	12.0	1090376.0	q95	5	q95-5
102	1000.0	0.980989060319818	770.9295384228659	881.0	26.0	23.0	580813.0	q95	5	q95-5
103	5000.0	0.991531585109761	4423.383825162621	4839.0	123.0	115.0	126060.0	q95	5	q95-5
104	10000.0	0.9931329664573736	8995.792964839598	9813.0	239.0	229.0	64931.0	q95	5	q95-5
105	50000.0	0.9861160625594306	37711.543497091945	49409.0	963.0	992.0	16162.0	q95	5	q95-5
106	100000.0	0.974867685543052	59467.689109103274	77768.0	1513.0	1544.0	10293.0	q95	5	q95-5
107	500000.0	0.9480863890994982	102944.41156747694	21133.0	2611.0	411.0	5965.0	q95	5	q95-5
108	1000000.0	0.9449151267566976	108744.90527620396	18082.5	2758.0	342.0	5648.0	q95	5	q95-5
109	5000000.0	0.944538774434354	109641.70813995002	17689.5	2781.0	334.0	5602.0	q95	5	q95-5
110	100000000.0	0.944538774434354	109641.70813995002	17689.5	2781.0	334.0	5602.0	q95	5	q95-5
111	500000000.0	0.944538774434354	109641.70813995002	17689.5	2781.0	334.0	5602.0	q95	5	q95-5
112	1.0	0.9289637922321144	4.49243999942601	1.0	1.6177045422944485	1.0	10104695.0	1	5	1-5
113	50.0	0.9381431772962624	16.96530105880597	11.0	2.0	2.0	6746373.0	1	5	1-5
114	100.0	0.9470390691837094	45.39352112326503	48.0	3.0	3.0	4271049.0	1	5	1-5
115	500.0	0.9702458028834916	351.1606523195003	405.0	14.0	12.0	1118409.0	1	5	1-5
116	1000.0	0.9777979167507684	774.9001667053182	884.0	27.0	24.0	595062.0	1	5	1-5
117	5000.0	0.9866660473924684	4428.344301423578	4843.0	126.0	118.0	129041.0	1	5	1-5
118	10000.0	0.9874014682672304	8969.222709522379	9816.0	245.0	236.0	66580.0	1	5	1-5
119	50000.0	0.9592939106655892	35741.416666666664	49287.5	943.0	961.0	17328.0	1	5	1-5
120	100000.0	0.9309254643739572	54311.60435048484	54261.0	1428.0	1309.0	11447.0	1	5	1-5
121	500000.0	0.8840460627598654	87650.18372223784	14181.5	2297.0	326.0	7114.0	1	5	1-5
122	1000000.0	0.8801469875365144	91768.44496762802	13031.0	2405.0	289.0	6796.0	1	5	1-5
123	5000000.0	0.8797061044277217	92395.91688888888	12894.5	2421.0	283.0	6750.0	1	5	1-5
124	100000000.0	0.8797061044277217	92395.91688888888	12894.5	2421.0	283.0	6750.0	1	5	1-5
125	500000000.0	0.8797061044277217	92395.91688888888	12894.5	2421.0	283.0	6750.0	1	5	1-5
126	1.0	0.9149262502080562	4.519423394238498	1.0	1.6259521072153835	1.0	10932461.0	q99	1	q99-1
127	50.0	0.9244040995838048	17.075392755053283	11.0	2.0	2.0	7289467.0	q99	1	q99-1
128	100.0	0.9339885496624156	45.90687481904278	49.0	3.0	3.0	4597081.0	q99	1	q99-1
129	500.0	0.96195677136567	367.10969067340216	417.0	15.0	13.0	1162396.0	q99	1	q99-1
130	1000.0	0.9716827550209536	811.3292711622603	906.0	29.0	26.0	607721.0	q99	1	q99-1
131	5000.0	0.983490361736742	4517.65289663999	4882.0	137.0	129.0	129702.0	q99	1	q99-1
132	10000.0	0.9849747423116226	9064.976868673277	9865.0	265.0	257.0	66879.0	q99	1	q99-1
133	50000.0	0.9524485278385012	35595.09624935777	49494.0	1014.0	1026.0	17517.0	q99	1	q99-1
134	100000.0	0.9205520756224128	53775.461988304094	51854.0	1528.0	1368.0	11628.0	q99	1	q99-1
135	500000.0	0.8701416826933708	85993.47214599341	13761.0	2439.0	328.0	7288.0	q99	1	q99-1
136	1000000.0	0.8660652483097153	89915.39506527041	12654.0	2549.0	294.0	6971.0	q99	1	q99-1
137	5000000.0	0.8656191513792804	90514.12259927798	12497.0	2566.0	286.0	6925.0	q99	1	q99-1
138	100000000.0	0.8656191513792804	90514.12259927798	12497.0	2566.0	286.0	6925.0	q99	1	q99-1
139	500000000.0	0.8656191513792804	90514.12259927798	12497.0	2566.0	286.0	6925.0	q99	1	q99-1
140	1.0	0.9289863984347884	4.477427536195848	1.0	1.6159117514543486	1.0	10054330.0	q99	5	q99-5
141	50.0	0.9381463538178538	16.934048612877532	11.0	2.0	2.0	6714764.0	q99	5	q99-5
142	100.0	0.9470287609729642	45.329420219341635	48.0	3.0	3.0	4252453.0	q99	5	q99-5
143	500.0	0.9701902182388052	350.7755564208898	405.0	14.0	12.0	1114534.0	q99	5	q99-5
144	1000.0	0.9777025645344016	774.001109125847	884.0	27.0	24.0	593260.0	q99	5	q99-5
145	5000.0	0.9864717532327888	4420.768088607399	4842.0	126.0	118.0	128838.0	q99	5	q99-5
146	10000.0	0.9872101643778408	8956.27690827357	9815.0	244.0	235.0	66513.0	q99	5	q99-5
147	50000.0	0.958710136054156	35724.7192860856	49285.0	938.0	957.0	17313.0	q99	5	q99-5
148	100000.0	0.930047747519611	54312.31866689993	54382.5	1421.0	1309.0	11432.0	q99	5	q99-5
149	500000.0	0.8826111337903166	87726.49288632201	14072.0	2288.0	294.0	7099.0	q99	5	q99-5
150	1000000.0	0.8786700294741446	91843.83972279564	12915.0	2395.0	257.0	6782.0	q99	5	q99-5
151	5000000.0	0.8782254611982174	92473.13064133016	12785.0	2411.0	254.0	6736.0	q99	5	q99-5
152	100000000.0	0.8782254611982174	92473.13064133016	12785.0	2411.0	254.0	6736.0	q99	5	q99-5
153	500000000.0	0.8782254611982174	92473.13064133016	12785.0	2411.0	254.0	6736.0	q99	5	q99-5
154	1.0	0.9361788630246606	4.445831640940122	1.0	1.6099629327956977	1.0	9227564.0	q90	5	q90-5
155	50.0	0.9435980002457544	16.33661293011111	10.0	2.0	2.0	6269165.0	q90	5	q90-5
156	100.0	0.9511672369219252	43.5589490575159	45.0	3.0	3.0	4029564.0	q90	5	q90-5
157	500.0	0.973191603363	343.71169956551955	398.0	13.0	11.0	1076228.0	q90	5	q90-5
158	1000.0	0.981069966700472	763.8680911343765	875.0	25.0	22.0	574624.0	q90	5	q90-5
159	5000.0	0.9918362012927536	4404.83529985451	4829.0	118.0	110.0	125094.0	q90	5	q90-5
160	10000.0	0.9936602201229968	8975.293368296921	9802.0	230.0	219.0	64448.0	q90	5	q90-5
161	50000.0	0.9892285282091088	38095.02661381653	49394.0	934.0	958.0	15894.0	q90	5	q90-5
162	100000.0	0.9803554895081716	60616.1418036871	82865.0	1480.0	1536.0	10035.0	q90	5	q90-5
163	500000.0	0.9572254711610564	106879.66976011208	23767.0	2601.0	432.0	5711.0	q90	5	q90-5
164	1000000.0	0.9543560513787124	113187.23748609566	20015.5	2754.0	343.0	5394.0	q90	5	q90-5
165	5000000.0	0.954006050697241	114165.51084517576	19331.0	2777.0	331.0	5348.0	q90	5	q90-5
166	100000000.0	0.954006050697241	114165.51084517576	19331.0	2777.0	331.0	5348.0	q90	5	q90-5
167	500000000.0	0.954006050697241	114165.51084517576	19331.0	2777.0	331.0	5348.0	q90	5	q90-5
168	1.0	0.925136200064575	4.48167059911295	1.0	1.6185082901480057	1.0	9965383.0	q90	1	q90-1
169	50.0	0.9327354766605098	16.44945754214114	10.0	2.0	2.0	6763106.0	q90	1	q90-1
170	100.0	0.9408565898601068	44.039900389273214	46.0	3.0	3.0	4331662.0	q90	1	q90-1
171	500.0	0.966846462346956	358.912335183745	410.0	14.0	12.0	1118670.0	q90	1	q90-1
172	1000.0	0.9765986992511102	798.780833163022	897.0	27.0	24.0	587160.0	q90	1	q90-1
173	5000.0	0.9896549301471476	4495.478989725482	4869.0	128.0	119.0	125748.0	q90	1	q90-1
174	10000.0	0.9918772609106862	9076.48920618732	9851.0	249.0	237.0	64713.0	q90	1	q90-1
175	50000.0	0.9858292958650487	38089.20663791487	49569.0	1008.0	1029.0	15999.0	q90	1	q90-1
176	100000.0	0.974540121349328	60369.042937518505	81255.0	1592.0	1646.0	10131.0	q90	1	q90-1
177	500000.0	0.945719293876634	105676.75857315182	22757.0	2779.0	456.0	5803.0	q90	1	q90-1
178	1000000.0	0.9420690358931566	111802.67608457892	19398.0	2940.0	380.0	5486.0	q90	1	q90-1
179	5000000.0	0.9416307662885398	112751.74356617648	18822.0	2964.0	369.0	5440.0	q90	1	q90-1
180	100000000.0	0.9416307662885398	112751.74356617648	18822.0	2964.0	369.0	5440.0	q90	1	q90-1
181	500000000.0	0.9416307662885398	112751.74356617648	18822.0	2964.0	369.0	5440.0	q90	1	q90-1
182	1.0	0.9280303202006636	4.568532853738512	1.0	1.6294031851322963	1.0	10089628.0	5	1	5-1
183	50.0	0.9351852568929176	16.52030245854749	10.0	2.0	2.0	6857667.0	5	1	5-1
184	100.0	0.9428661631685992	44.09656859766539	46.0	3.0	3.0	4394151.0	5	1	5-1
185	500.0	0.9683543592005704	359.7139561279481	411.0	14.0	12.0	1133022.0	5	1	5-1
186	1000.0	0.9782422510770824	801.121567722916	897.0	27.0	24.0	593957.0	5	1	5-1
187	5000.0	0.9919588868567024	4521.7955734311045	4870.0	129.0	120.0	126554.0	5	1	5-1
188	10000.0	0.9945564475555072	9139.304339788325	9852.0	253.0	239.0	64911.0	5	1	5-1
189	50000.0	0.9923293108742848	38274.9899906162	49559.0	1028.0	1044.0	15985.0	5	1	5-1
190	100000.0	0.9875591427584656	60683.792704626336	81859.5	1625.0	1666.0	10116.0	5	1	5-1
191	500000.0	0.97390009000488	106347.11232071884	23493.0	2840.0	604.0	5787.0	5	1	5-1
192	1000000.0	0.9720178300427844	112548.51471932713	20295.0	3006.0	518.0	5469.0	5	1	5-1
193	5000000.0	0.9717937430304722	113505.11488106214	19905.0	3031.0	505.0	5423.0	5	1	5-1
194	100000000.0	0.9717937430304722	113505.11488106214	19905.0	3031.0	505.0	5423.0	5	1	5-1
195	500000000.0	0.9717937430304722	113505.11488106214	19905.0	3031.0	505.0	5423.0	5	1	5-1
196	1.0	0.9553486070710508	4.846102769049321	1.0	1.6659161793296493	1.0	5141548.0	10	10	10-10
197	50.0	0.9590441266372008	14.177625481427244	6.0	2.0	2.0	3802236.0	10	10	10-10
198	100.0	0.9629065254451512	35.07175388826536	28.0	3.0	2.0	2659605.0	10	10	10-10
199	500.0	0.9753347204661356	273.7234138920181	310.0	9.0	7.0	861070.0	10	10	10-10
200	1000.0	0.9811148356058148	618.4779046567899	720.0	17.0	13.0	494697.0	10	10	10-10
201	5000.0	0.9920190103076574	3873.457806804627	4456.0	71.0	57.0	119889.0	10	10	10-10
202	10000.0	0.9950453796836736	8242.02832410413	9322.0	136.0	115.0	62844.0	10	10	10-10
203	50000.0	0.994425508602331	37946.782174338885	48016.0	559.0	535.0	15315.0	10	10	10-10
204	100000.0	0.9908793506151894	61984.58764186633	87638.5	900.0	887.0	9516.0	10	10	10-10
205	500000.0	0.9788256995953656	114011.00440022958	29219.0	1638.0	448.0	5227.0	10	10	10-10
206	1000000.0	0.9770324806873214	121433.6695174099	23831.0	1744.0	380.0	4911.0	10	10	10-10
