"orth_id"	"L1"	"meth"
"1840"	"Pec"	"methylated_promoter"
"3161"	"Pec"	"methylated_promoter"
"2948"	"Pec"	"methylated_promoter"
"4895"	"Pec"	"methylated_promoter"
"434"	"Pec"	"methylated_promoter"
"2272"	"Pec"	"methylated_promoter"
"4326"	"Pec"	"methylated_promoter"
"1615"	"Pec"	"methylated_promoter"
"2040"	"Pec"	"methylated_promoter"
"2512"	"Pec"	"methylated_promoter"
"3881"	"Pec"	"methylated_promoter"
"5050"	"Pec"	"methylated_promoter"
"3916"	"Pec"	"methylated_promoter"
"4224"	"Pec"	"methylated_promoter"
"3158"	"Pec"	"methylated_promoter"
"3287"	"Pec"	"methylated_promoter"
"3063"	"Pec"	"methylated_promoter"
"2591"	"Pec"	"methylated_promoter"
"3511"	"Pec"	"methylated_promoter"
"4309"	"Pec"	"methylated_promoter"
"1555"	"Pec"	"methylated_promoter"
"1693"	"Pec"	"methylated_promoter"
"3012"	"Pec"	"methylated_promoter"
"407"	"Pec"	"methylated_promoter"
"2392"	"Pec"	"methylated_promoter"
"2464"	"Pec"	"methylated_promoter"
"4261"	"Pec"	"methylated_promoter"
"3955"	"Pec"	"methylated_promoter"
"5070"	"Pec"	"methylated_promoter"
"4369"	"Pec"	"methylated_promoter"
"4588"	"Pec"	"methylated_promoter"
"1136"	"Pec"	"methylated_promoter"
"4044"	"Pec"	"methylated_promoter"
"4973"	"Pec"	"methylated_promoter"
"2761"	"Pec"	"methylated_promoter"
"4421"	"Pec"	"methylated_promoter"
"2287"	"Pec"	"methylated_promoter"
"2558"	"Pec"	"methylated_promoter"
"2349"	"Pec"	"methylated_promoter"
"945"	"Pec"	"methylated_promoter"
"2433"	"Pec"	"methylated_promoter"
"2776"	"Pec"	"methylated_promoter"
"2313"	"Pec"	"methylated_promoter"
"325"	"Pec"	"methylated_promoter"
"3057"	"Pec"	"methylated_promoter"
"4562"	"Pec"	"methylated_promoter"
"1590"	"Pec"	"methylated_promoter"
"4646"	"Pec"	"methylated_promoter"
"879"	"Pec"	"methylated_promoter"
"2568"	"Pec"	"methylated_promoter"
"533"	"Pec"	"methylated_promoter"
"898"	"Pec"	"methylated_promoter"
"4205"	"Pec"	"methylated_promoter"
"4754"	"Pec"	"methylated_promoter"
"3226"	"Pec"	"methylated_promoter"
"2566"	"Pec"	"methylated_promoter"
"3913"	"Pec"	"methylated_promoter"
"569"	"Pec"	"methylated_promoter"
"2926"	"Pec"	"methylated_promoter"
"4703"	"Pec"	"methylated_promoter"
"2853"	"Pec"	"methylated_promoter"
"4156"	"Pec"	"methylated_promoter"
"2848"	"Pec"	"methylated_promoter"
"1767"	"Pec"	"methylated_promoter"
"4625"	"Pec"	"methylated_promoter"
"4830"	"Pec"	"methylated_promoter"
"5127"	"Pec"	"methylated_promoter"
"2504"	"Pec"	"methylated_promoter"
"1271"	"Pec"	"methylated_promoter"
"5010"	"Pec"	"methylated_promoter"
"3435"	"Pec"	"methylated_promoter"
"3841"	"Pec"	"methylated_promoter"
"473"	"Pec"	"methylated_promoter"
"2342"	"Pec"	"methylated_promoter"
"1091"	"Pec"	"methylated_promoter"
"3570"	"Pec"	"methylated_promoter"
"2485"	"Pec"	"methylated_promoter"
"2355"	"Pec"	"methylated_promoter"
"364"	"Pec"	"methylated_promoter"
"4155"	"Pec"	"methylated_promoter"
"2296"	"Pec"	"methylated_promoter"
"2951"	"Pec"	"methylated_promoter"
"4158"	"Pec"	"methylated_promoter"
"3765"	"Pec"	"methylated_promoter"
"1679"	"Pec"	"methylated_promoter"
"4460"	"Pec"	"methylated_promoter"
"1023"	"Pec"	"methylated_promoter"
"4915"	"Pec"	"methylated_promoter"
"3738"	"Pec"	"methylated_promoter"
"761"	"Pec"	"methylated_promoter"
"2451"	"Pec"	"methylated_promoter"
"4137"	"Pec"	"methylated_promoter"
"1519"	"Pec"	"methylated_promoter"
"1113"	"Pec"	"methylated_promoter"
"1354"	"Pec"	"methylated_promoter"
"467"	"Pec"	"methylated_promoter"
"3121"	"Pec"	"methylated_promoter"
"601"	"Pec"	"methylated_promoter"
"4192"	"Pec"	"methylated_promoter"
"1792"	"Pec"	"methylated_promoter"
"724"	"Pec"	"methylated_promoter"
"2130"	"Pec"	"methylated_promoter"
"4829"	"Pec"	"methylated_promoter"
"2338"	"Pec"	"methylated_promoter"
"2574"	"Pec"	"methylated_promoter"
"2842"	"Pec"	"methylated_promoter"
"3993"	"Pec"	"methylated_promoter"
"4075"	"Pec"	"methylated_promoter"
"2063"	"Pec"	"methylated_promoter"
"3643"	"Pec"	"methylated_promoter"
"1182"	"Pec"	"methylated_promoter"
"3609"	"Pec"	"methylated_promoter"
"3350"	"Pec"	"methylated_promoter"
"2561"	"Pec"	"methylated_promoter"
"2466"	"Pec"	"methylated_promoter"
"2584"	"Pec"	"methylated_promoter"
"3429"	"Pec"	"methylated_promoter"
"4809"	"Pec"	"methylated_promoter"
"1211"	"Pec"	"methylated_promoter"
"2835"	"Pec"	"methylated_promoter"
"4601"	"Pec"	"methylated_promoter"
"3179"	"Pec"	"methylated_promoter"
"4576"	"Pec"	"methylated_promoter"
"4704"	"Pec"	"methylated_promoter"
"1689"	"Pec"	"methylated_promoter"
"3372"	"Pec"	"methylated_promoter"
"2016"	"Pec"	"methylated_promoter"
"1183"	"Pec"	"methylated_promoter"
"3749"	"Pec"	"methylated_promoter"
"1490"	"Pec"	"methylated_promoter"
"3680"	"Pec"	"methylated_promoter"
"3038"	"Pec"	"methylated_promoter"
"1540"	"Pec"	"methylated_promoter"
"1154"	"Pec"	"methylated_promoter"
"2595"	"Pec"	"methylated_promoter"
"2104"	"Pec"	"methylated_promoter"
"1497"	"Pec"	"methylated_promoter"
"4450"	"Pec"	"methylated_promoter"
"4312"	"Pec"	"methylated_promoter"
"1127"	"Pec"	"methylated_promoter"
"1593"	"Pec"	"methylated_promoter"
"4696"	"Pec"	"methylated_promoter"
"4530"	"Pec"	"methylated_promoter"
"2463"	"Pec"	"methylated_promoter"
"2810"	"Pec"	"methylated_promoter"
"2589"	"Pec"	"methylated_promoter"
"3132"	"Pec"	"methylated_promoter"
"893"	"Pec"	"methylated_promoter"
"2142"	"Pec"	"methylated_promoter"
"3730"	"Pec"	"methylated_promoter"
"4454"	"Pec"	"methylated_promoter"
"1248"	"Pec"	"methylated_promoter"
"1484"	"Pec"	"methylated_promoter"
"1864"	"Pec"	"methylated_promoter"
"638"	"Pec"	"methylated_promoter"
"4118"	"Pec"	"methylated_promoter"
"3312"	"Pec"	"methylated_promoter"
"4496"	"Pec"	"methylated_promoter"
"4084"	"Pec"	"methylated_promoter"
"1045"	"Pec"	"methylated_promoter"
"1460"	"Pec"	"methylated_promoter"
"936"	"Pec"	"methylated_promoter"
"1081"	"Pec"	"methylated_promoter"
"1878"	"Pec"	"methylated_promoter"
"3810"	"Pec"	"methylated_promoter"
"5024"	"Pec"	"methylated_promoter"
"3667"	"Pec"	"methylated_promoter"
"2699"	"Pec"	"methylated_promoter"
"997"	"Pec"	"methylated_promoter"
"3830"	"Pec"	"methylated_promoter"
"4554"	"Pec"	"methylated_promoter"
"4886"	"Pec"	"methylated_promoter"
"3662"	"Pec"	"methylated_promoter"
"4922"	"Pec"	"methylated_promoter"
"514"	"Pec"	"methylated_promoter"
"1475"	"Pec"	"methylated_promoter"
"3666"	"Pec"	"methylated_promoter"
"3277"	"Pec"	"methylated_promoter"
"2929"	"Pec"	"methylated_promoter"
"1483"	"Pec"	"methylated_promoter"
"2279"	"Pec"	"methylated_promoter"
"3445"	"Pec"	"methylated_promoter"
"1911"	"Pec"	"methylated_promoter"
"2941"	"Pec"	"methylated_promoter"
"1366"	"Pec"	"methylated_promoter"
"2219"	"Pec"	"methylated_promoter"
"2542"	"Pec"	"methylated_promoter"
"1808"	"Pec"	"methylated_promoter"
"2614"	"Pec"	"methylated_promoter"
"4475"	"Pec"	"methylated_promoter"
"2044"	"Pec"	"methylated_promoter"
"657"	"Pec"	"methylated_promoter"
"1088"	"Pec"	"methylated_promoter"
"2952"	"Pec"	"methylated_promoter"
"1400"	"Pec"	"methylated_promoter"
"5068"	"Pec"	"methylated_promoter"
"1249"	"Pec"	"methylated_promoter"
"276"	"Pec"	"methylated_promoter"
"3054"	"Pec"	"methylated_promoter"
"2403"	"Pec"	"methylated_promoter"
"2174"	"Pec"	"methylated_promoter"
"4853"	"Pec"	"methylated_promoter"
"1036"	"Pec"	"methylated_promoter"
"430"	"Pec"	"methylated_promoter"
"900"	"Pec"	"methylated_promoter"
"4555"	"Pec"	"methylated_promoter"
"3134"	"Pec"	"methylated_promoter"
"3045"	"Pec"	"methylated_promoter"
"641"	"Pec"	"methylated_promoter"
"3469"	"Pec"	"methylated_promoter"
"594"	"Pec"	"methylated_promoter"
"1192"	"Pec"	"methylated_promoter"
"3683"	"Pec"	"methylated_promoter"
"1788"	"Pec"	"methylated_promoter"
"3280"	"Pec"	"methylated_promoter"
"828"	"Pec"	"methylated_promoter"
"864"	"Pec"	"methylated_promoter"
"1664"	"Pec"	"methylated_promoter"
"2024"	"Pec"	"methylated_promoter"
"3902"	"Pec"	"methylated_promoter"
"4874"	"Pec"	"methylated_promoter"
"871"	"Pec"	"methylated_promoter"
"2417"	"Pec"	"methylated_promoter"
"4026"	"Pec"	"methylated_promoter"
"2501"	"Pec"	"methylated_promoter"
"2875"	"Pec"	"methylated_promoter"
"2306"	"Pec"	"methylated_promoter"
"3103"	"Pec"	"methylated_promoter"
"909"	"Pec"	"methylated_promoter"
"4524"	"Pec"	"methylated_promoter"
"2239"	"Pec"	"methylated_promoter"
"2004"	"Pec"	"methylated_promoter"
"1845"	"Pec"	"methylated_promoter"
"2213"	"Pec"	"methylated_promoter"
"618"	"Pec"	"methylated_promoter"
"3855"	"Pec"	"methylated_promoter"
"1561"	"Pec"	"methylated_promoter"
"4804"	"Pec"	"methylated_promoter"
"2145"	"Pec"	"methylated_promoter"
"1886"	"Pec"	"methylated_promoter"
"1710"	"Pec"	"methylated_promoter"
"4391"	"Pec"	"methylated_promoter"
"3515"	"Pec"	"methylated_promoter"
"406"	"Pec"	"methylated_promoter"
"3760"	"Pec"	"methylated_promoter"
"1162"	"Pec"	"methylated_promoter"
"2914"	"Pec"	"methylated_promoter"
"5038"	"Pec"	"methylated_promoter"
"2007"	"Pec"	"methylated_promoter"
"1827"	"Pec"	"methylated_promoter"
"3536"	"Pec"	"methylated_promoter"
"4873"	"Pec"	"methylated_promoter"
"2401"	"Pec"	"methylated_promoter"
"1059"	"Pec"	"methylated_promoter"
"4899"	"Pec"	"methylated_promoter"
"3512"	"Pec"	"methylated_promoter"
"5101"	"Pec"	"methylated_promoter"
"523"	"R07B"	"methylated_promoter"
"3915"	"R07B"	"methylated_promoter"
"4577"	"R07B"	"methylated_promoter"
"2103"	"R07B"	"methylated_promoter"
"3503"	"R07B"	"methylated_promoter"
"669"	"R07B"	"methylated_promoter"
"2154"	"R07B"	"methylated_promoter"
"4018"	"R07B"	"methylated_promoter"
"4811"	"R07B"	"methylated_promoter"
"4058"	"R07B"	"methylated_promoter"
"2705"	"R07B"	"methylated_promoter"
