#window_size = genomic window size (bp)
#corr = Pearson's correlation (r) between WGBS and Nanopore data
#mean_step = mean distance between first and last CpG in window (bp)
#median_step = mean distance between first and last CpG in window (bp)
#mean_CpGs = mean number of CpGs in windows
#median_CpGs = median number of CpGs in windows
#n = windows count
#cov_nanop = coverage threshold for Nanopore data (q95: 95% interpercentile, min and max threshold applied)
#cov_wgbs = coverage threshold for WBGS data (q95: 95% interpercentile, min and max threshold applied)
#cov_nanop-cov_wgbs = coverage thresholds for Nanopore and WGBS
#
	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
48	10000.0	0.995935736184405	9060.334371108343	9839.0	242.0	235.0	65846.0	5	5	5-5
49	50000.0	0.9925405771244108	36890.89124716011	49439.0	954.0	983.0	16726.0	5	5	5-5
50	100000.0	0.9870334187610604	57059.46742836082	65362.0	1471.0	1451.0	10853.0	5	5	5-5
51	500000.0	0.9759894805122958	95170.31555555556	17128.0	2447.0	405.0	6525.0	5	5	5-5
52	1000000.0	0.974963925740664	100063.18753020784	15396.0	2573.0	361.0	6207.0	5	5	5-5
53	5000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
54	100000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
55	500000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
56	1.0	0.9452512538422588	1.0	1.0	1.0	1.0	17231952.0	1	1	1-1
57	50.0	0.9510544033107587	17.402577321356862	13.0	2.0	2.0	7575074.0	1	1	1-1
58	100.0	0.9561750608306124	46.9273205268731	51.0	3.0	3.0	4677483.0	1	1	1-1
59	500.0	0.9715719526617252	368.3302875884406	420.0	14.0	13.0	1175082.0	1	1	1-1
60	1000.0	0.9773641416760424	811.5079313946565	908.0	28.0	25.0	614646.0	1	1	1-1
61	5000.0	0.9845524665534916	4500.52346617027	4882.0	130.0	124.0	131615.0	1	1	1-1
62	10000.0	0.9856437547273084	9015.931440585762	9864.0	253.0	247.0	68014.0	1	1	1-1
63	50000.0	0.9538593137739136	34134.577467078525	49337.0	933.0	948.0	18453.0	1	1	1-1
64	100000.0	0.926363347219776	50255.8205760662	36795.0	1371.0	979.0	12568.0	1	1	1-1
65	500000.0	0.8920294434562319	76891.87900874636	11170.5	2093.0	254.0	8232.0	1	1	1-1
66	1000000.0	0.8897840900916021	79991.53790750568	10475.5	2177.0	231.0	7914.0	1	1	1-1
67	5000000.0	0.889540825038222	80460.49517031011	10356.5	2190.0	228.0	7868.0	1	1	1-1
68	100000000.0	0.889540825038222	80460.49517031011	10356.5	2190.0	228.0	7868.0	1	1	1-1
69	500000000.0	0.889540825038222	80460.49517031011	10356.5	2190.0	228.0	7868.0	1	1	1-1
70	1.0	0.9639247871681976	1.0	1.0	1.0	1.0	14781208.0	1	10	1-10
71	50.0	0.9679151218926711	17.175047606886693	13.0	2.0	2.0	6594109.0	1	10	1-10
72	100.0	0.972321622724134	46.00224966313543	50.0	3.0	3.0	4103281.0	1	10	1-10
73	500.0	0.9830419381443962	342.4555310160281	398.0	13.0	11.0	1091210.0	1	10	1-10
74	1000.0	0.9864146160992294	751.0063168347472	869.0	25.0	22.0	588111.0	1	10	1-10
75	5000.0	0.9901317510940804	4337.286326367055	4807.0	113.0	106.0	129768.0	1	10	1-10
76	10000.0	0.9904045468740692	8824.258803235783	9772.0	219.0	212.0	67248.0	1	10	1-10
77	50000.0	0.968025624498628	34398.48672959467	48943.0	820.0	847.0	18010.0	1	10	1-10
78	100000.0	0.9477643589399448	51281.590227422545	42749.0	1217.0	959.0	12136.0	1	10	1-10
79	500000.0	0.921528812267438	79950.82819101267	11473.0	1892.0	214.0	7811.0	1	10	1-10
80	1000000.0	0.9197282451245136	83350.77141713371	10450.0	1972.0	186.0	7494.0	1	10	1-10
81	5000000.0	0.9195256809339206	83868.00389366272	10313.0	1984.0	182.0	7448.0	1	10	1-10
82	100000000.0	0.9195256809339206	83868.00389366272	10313.0	1984.0	182.0	7448.0	1	10	1-10
83	500000000.0	0.9195256809339206	83868.00389366272	10313.0	1984.0	182.0	7448.0	1	10	1-10
84	1.0	0.9652289692121816	1.0	1.0	1.0	1.0	14669625.0	10	10	10-10
85	50.0	0.9693499309186752	17.17258966524121	13.0	2.0	2.0	6546684.0	10	10	10-10
86	100.0	0.973795856775202	46.0117399106882	50.0	3.0	3.0	4073370.0	10	10	10-10
87	500.0	0.985141681366286	343.60579835408845	399.0	13.0	11.0	1080617.0	10	10	10-10
88	1000.0	0.989154717590114	755.4572691289924	871.0	25.0	22.0	580833.0	10	10	10-10
89	5000.0	0.9954064403507124	4396.691766228437	4816.0	115.0	108.0	126722.0	10	10	10-10
90	10000.0	0.9966963142241866	8996.713357799856	9787.0	225.0	217.0	65123.0	10	10	10-10
91	50000.0	0.9949238908242242	37750.386885650776	49317.5	905.0	933.0	16196.0	10	10	10-10
92	100000.0	0.9911173194614762	59456.534894976285	76781.0	1419.0	1453.0	10331.0	10	10	10-10
93	500000.0	0.9817278113410544	102564.0381031614	21095.5	2440.0	483.0	6010.0	10	10	10-10
94	1000000.0	0.9806820880054544	108299.11470226594	18383.0	2576.0	408.0	5693.0	10	10	10-10
95	5000000.0	0.9805582712422676	109184.53550557818	18030.0	2597.0	395.0	5647.0	10	10	10-10
96	100000000.0	0.9805582712422676	109184.53550557818	18030.0	2597.0	395.0	5647.0	10	10	10-10
97	500000000.0	0.9805582712422676	109184.53550557818	18030.0	2597.0	395.0	5647.0	10	10	10-10
98	1.0	0.9649661067654692	1.0	1.0	1.0	1.0	14716730.0	5	10	5-10
99	50.0	0.9691048948793765	17.17870783471594	13.0	2.0	2.0	6565739.0	5	10	5-10
100	100.0	0.9735763586413028	46.02378879106164	50.0	3.0	3.0	4084865.0	5	10	5-10
101	500.0	0.9848899196808352	343.34361220072105	399.0	13.0	11.0	1084231.0	5	10	5-10
102	1000.0	0.9888600649665348	754.399432048125	871.0	25.0	22.0	583148.0	5	10	5-10
103	5000.0	0.9950083008507532	4383.642782106963	4814.0	115.0	108.0	127558.0	5	10	5-10
104	10000.0	0.9961840351164531	8955.106940067893	9784.0	224.0	216.0	65691.0	5	10	5-10
105	50000.0	0.9928697541032204	36833.17783644327	49257.0	882.0	911.0	16667.0	5	10	5-10
106	100000.0	0.9875813288074008	57115.558992406	66366.0	1362.0	1350.0	10798.0	5	10	5-10
107	500000.0	0.9769670431599214	95565.22853613342	17004.0	2272.0	368.0	6476.0	5	10	5-10
108	1000000.0	0.9759729409492572	100505.7934729664	15328.0	2389.0	322.0	6159.0	5	10	5-10
109	5000000.0	0.9758570987805372	101265.07345002452	15113.0	2407.0	317.0	6113.0	5	10	5-10
110	100000000.0	0.9758570987805372	101265.07345002452	15113.0	2407.0	317.0	6113.0	5	10	5-10
111	500000000.0	0.9758570987805372	101265.07345002452	15113.0	2407.0	317.0	6113.0	5	10	5-10
112	1.0	0.9639666235348012	1.0	1.0	1.0	1.0	14714277.0	q99	10	q99-10
113	50.0	0.9679388965066122	17.151484618902288	13.0	2.0	2.0	6571215.0	q99	10	q99-10
114	100.0	0.9723328432145466	45.95261117577413	50.0	3.0	3.0	4090437.0	q99	10	q99-10
115	500.0	0.98301751927003	342.18186378222646	398.0	13.0	11.0	1088507.0	q99	10	q99-10
116	1000.0	0.9863743466126436	750.3877257855634	869.0	25.0	22.0	586840.0	q99	10	q99-10
117	5000.0	0.9900399039810396	4332.164323848908	4806.0	113.0	106.0	129616.0	q99	10	q99-10
118	10000.0	0.9903103897316043	8815.395838914188	9771.0	218.0	212.0	67194.0	q99	10	q99-10
119	50000.0	0.9677694438624916	34387.129569952216	48943.0	817.0	845.0	17998.0	q99	10	q99-10
120	100000.0	0.9473366690519962	51277.25575257732	42910.0	1213.0	953.0	12125.0	q99	10	q99-10
121	500000.0	0.9208630489319304	79986.44833333333	11308.5	1886.0	194.0	7800.0	q99	10	q99-10
122	1000000.0	0.9190452778008034	83381.70256547301	10291.5	1966.0	170.0	7484.0	q99	10	q99-10
123	5000000.0	0.9188411658253158	83899.8217262705	10150.0	1978.0	167.0	7438.0	q99	10	q99-10
124	100000000.0	0.9188411658253158	83899.8217262705	10150.0	1978.0	167.0	7438.0	q99	10	q99-10
125	500000000.0	0.9188411658253158	83899.8217262705	10150.0	1978.0	167.0	7438.0	q99	10	q99-10
126	1.0	0.9519527376541508	1.0	1.0	1.0	1.0	15892168.0	q90	1	q90-1
127	50.0	0.957363321430326	17.05529733804819	13.0	2.0	2.0	7080594.0	q90	1	q90-1
