TSS_idx	binary_idx	binary_mRNA_count	variable	window_meth_freq_50	window_freq_quantiles_min	window_freq_quantiles_max	window_CpGoe_50	window_CpGoe_quantiles_min	window_CpGoe_quantiles_max	group	genome
-49	NA1	NA	80	0.7576161765	0.031120861566	0.92227709656	0.524943	0.1790384	1.054016	0	Pec
-49	NANA	NA	20	0.038735042	0.029010430768	0.059455890002	0.762801	0.6366446	0.8507026	0	Pec
-49	NANA	NA	50	0.038735042	0.0187337729525	0.473808087025	0.762801	0.44995475	1.0701925	0	Pec
-49	NANA	NA	80	0.038735042	0.00763214175	0.8487274	0.762801	0.2281673	1.296765	0	Pec
-48	00	NA	20	0.02898360319	0.024425761998	0.0344391175	0.876731	0.782598	0.9632858	1	Pec
-48	00	NA	50	0.02898360319	0.0181129007225	0.048664343865	0.876731	0.62747325	1.099315	1	Pec
-48	00	NA	80	0.02898360319	0.01076820552	0.47534670726	0.876731	0.4216476	1.286774	1	Pec
-48	01	NA	20	0.47412460625	0.067000756348	0.7132851692	0.648537	0.556333	0.7601994	0	Pec
-48	01	NA	50	0.47412460625	0.029026331605	0.844651622375	0.648537	0.443525	0.9501215	0	Pec
-48	01	NA	80	0.47412460625	0.015110592362	0.90508600985	0.648537	0.2910818	1.193503	0	Pec
-48	0NA	NA	20	0.03375279926	0.025762270216	0.03681429	0.8385245	0.7402852	0.9159112	0	Pec
-48	0NA	NA	50	0.03375279926	0.0198732003125	0.067143547	0.8385245	0.521422	1.0722175	0	Pec
-48	0NA	NA	80	0.03375279926	0.010704020914	0.672079467700001	0.8385245	0.2928839	1.235155	0	Pec
-48	10	NA	20	0.7305216209	0.65756673336	0.8086620873	0.5536785	0.4790428	0.6169668	0	Pec
-48	10	NA	50	0.7305216209	0.4338816375	0.8628065841	0.5536785	0.35430675	0.765749	0	Pec
-48	10	NA	80	0.7305216209	0.031956807852	0.91124048738	0.5536785	0.2190466	1.022614	0	Pec
-48	11	NA	20	0.7877526438	0.729519	0.832297	0.52872	0.458511	0.610895	1	Pec
-48	11	NA	50	0.7877526438	0.544568598675	0.87690987065	0.52872	0.35665725	0.762416	1	Pec
-48	11	NA	80	0.7877526438	0.04181178453	0.91836554465	0.52872	0.2232705	1.029355	1	Pec
-48	1NA	NA	20	0.7703342143	0.70020395	0.81347888336	0.500001	0.4549818	0.628492	0	Pec
-48	1NA	NA	50	0.7703342143	0.48678626	0.86536008175	0.500001	0.3562245	0.768181	0	Pec
-48	1NA	NA	80	0.7703342143	0.037398133434	0.90578666152	0.500001	0.1938478	1.00214	0	Pec
-48	NA0	NA	20	0.02709616667	0.02301585714	0.03412180667	0.78624	0.653263	0.878087	0	Pec
-48	NA0	NA	50	0.02709616667	0.013781275	0.05324038333	0.78624	0.503308	1.03631	0	Pec
-48	NA0	NA	80	0.02709616667	0.004945126471	0.5939732941	0.78624	0.201909	1.26794	0	Pec
-48	NA1	NA	20	0.7596824	0.67124288002	0.81176666666	0.513577	0.4341118	0.586477	0	Pec
-48	NA1	NA	50	0.7596824	0.4528930893	0.8509301154	0.513577	0.3352685	0.766708	0	Pec
-48	NA1	NA	80	0.7596824	0.027588062806	0.90792627	0.513577	0.1812102	1.039044	0	Pec
-48	NANA	NA	20	0.04128184313	0.032928565408	0.075638643336	0.7529825	0.5970038	0.8722252	0	Pec
-48	NANA	NA	50	0.04128184313	0.02123148208	0.541889395825	0.7529825	0.44449525	1.0118675	0	Pec
-48	NANA	NA	80	0.04128184313	0.0082164803702	0.85037449999	0.7529825	0.2618047	1.238543	0	Pec
-47	00	NA	20	0.028976930835	0.024564681024	0.0343904798	0.88137	0.7895562	0.9654162	1	Pec
-47	00	NA	50	0.028976930835	0.0185425485775	0.0477950363075	0.88137	0.62869225	1.0915875	1	Pec
-47	00	NA	80	0.028976930835	0.011326533593	0.46745402858	0.88137	0.4246247	1.270261	1	Pec
