mean_binary_idx	mRNA
NA1	PE_Scaf10092_0.1
11	PE_Scaf10096_0.2
00	PE_Scaf10097_1.14
01	PE_Scaf10097_1.17
11	PE_Scaf10097_1.18
10	PE_Scaf10097_1.19
0NA	PE_Scaf10098_0.1
10	PE_Scaf10098_0.3
01	PE_Scaf10098_0.4
11	PE_Scaf10099_1.4
00	PE_Scaf10099_1.7
00	PE_Scaf10099_2.3
00	PE_Scaf10099_2.6
00	PE_Scaf10099_4.10
00	PE_Scaf10099_4.13
00	PE_Scaf10099_4.9
01	PE_Scaf10099_5.0
11	PE_Scaf10099_6.6
01	PE_Scaf10099_6.8
11	PE_Scaf10099_7.11
00	PE_Scaf10099_7.5
01	PE_Scaf10099_7.8
NA0	PE_Scaf101_0.2
01	PE_Scaf10100_0.3
00	PE_Scaf10101_0.12
00	PE_Scaf10101_0.14
00	PE_Scaf10101_0.9
00	PE_Scaf10105_0.4
11	PE_Scaf10109_0.2
00	PE_Scaf10110_0.2
NA0	PE_Scaf10113_0.3
00	PE_Scaf10115_1.13
11	PE_Scaf10115_1.6
01	PE_Scaf10115_1.7
00	PE_Scaf10115_3.10
00	PE_Scaf10115_3.9
01	PE_Scaf10115_4.3
00	PE_Scaf10115_5.10
11	PE_Scaf10115_5.8
11	PE_Scaf10115_6.10
11	PE_Scaf10115_6.11
11	PE_Scaf10115_6.9
00	PE_Scaf1012_0.2
00	PE_Scaf1012_0.3
00	PE_Scaf10124_0.0
00	PE_Scaf10124_0.1
00	PE_Scaf10124_0.2
11	PE_Scaf10127_0.3
00	PE_Scaf10127_1.15
11	PE_Scaf10127_1.16
00	PE_Scaf10127_1.6
0NA	PE_Scaf10127_1.8
00	PE_Scaf10129_1.3
00	PE_Scaf10129_3.6
NA1	PE_Scaf1013_1.1
NA1	PE_Scaf1013_1.4
01	PE_Scaf1013_2.5
01	PE_Scaf1013_3.3
11	PE_Scaf1013_5.3
01	PE_Scaf1013_5.4
01	PE_Scaf1013_6.0
11	PE_Scaf1013_6.10
11	PE_Scaf1013_6.18
11	PE_Scaf1013_6.8
11	PE_Scaf1013_6.9
00	PE_Scaf10130_0.11
00	PE_Scaf10130_0.5
00	PE_Scaf10130_1.5
00	PE_Scaf10130_1.9
00	PE_Scaf10131_0.6
00	PE_Scaf10131_0.8
00	PE_Scaf10134_0.0
00	PE_Scaf10139_0.3
00	PE_Scaf10139_1.0
00	PE_Scaf1014_0.1
00	PE_Scaf10140_0.0
00	PE_Scaf10140_1.0
NA0	PE_Scaf10144_1.6
00	PE_Scaf10144_1.7
00	PE_Scaf10144_1.8
00	PE_Scaf10145_0.0
00	PE_Scaf10145_0.6
11	PE_Scaf10145_3.1
NA0	PE_Scaf10146_0.4
00	PE_Scaf10146_0.5
00	PE_Scaf1015_2.0
00	PE_Scaf1015_3.0
00	PE_Scaf1015_3.1
00	PE_Scaf1015_4.0
11	PE_Scaf10151_0.7
01	PE_Scaf10151_0.8
NA1	PE_Scaf10152_0.3
00	PE_Scaf10153_0.0
01	PE_Scaf10156_0.3
00	PE_Scaf10157_0.3
00	PE_Scaf10157_1.3
11	PE_Scaf10159_0.13
NA1	PE_Scaf10159_0.14
00	PE_Scaf1016_0.1
01	PE_Scaf10160_0.1
