mean_binary_idx	mRNA
11	augustus_masked-ctg1057_pilon-processed-gene-0.87-mRNA-1
00	augustus_masked-ctg1057_pilon-processed-gene-0.90-mRNA-1
11	augustus_masked-ctg1059_pilon-processed-gene-1.42-mRNA-1
00	augustus_masked-ctg1060_pilon-processed-gene-0.3-mRNA-1
00	augustus_masked-ctg1061_pilon-processed-gene-0.15-mRNA-1
00	augustus_masked-ctg1062_pilon-processed-gene-0.1-mRNA-1
00	augustus_masked-ctg1062_pilon-processed-gene-0.16-mRNA-1
00	augustus_masked-ctg1062_pilon-processed-gene-0.17-mRNA-1
00	augustus_masked-ctg1065_pilon-processed-gene-0.48-mRNA-1
00	augustus_masked-ctg1067_pilon-processed-gene-0.20-mRNA-1
00	augustus_masked-ctg1067_pilon-processed-gene-0.21-mRNA-1
01	augustus_masked-ctg1068_pilon-processed-gene-0.78-mRNA-1
01	augustus_masked-ctg1069_pilon-processed-gene-0.52-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-0.5-mRNA-1
01	augustus_masked-ctg107_pilon-processed-gene-0.7-mRNA-1
01	augustus_masked-ctg107_pilon-processed-gene-1.4-mRNA-1
01	augustus_masked-ctg107_pilon-processed-gene-11.44-mRNA-1
01	augustus_masked-ctg107_pilon-processed-gene-12.26-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-12.27-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-12.28-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-13.4-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-5.100-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-5.111-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-5.86-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-5.99-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-9.5-mRNA-1
00	augustus_masked-ctg1070_pilon-processed-gene-0.29-mRNA-1
00	augustus_masked-ctg1073_pilon-processed-gene-0.18-mRNA-1
00	augustus_masked-ctg1073_pilon-processed-gene-0.35-mRNA-1
00	augustus_masked-ctg1075_pilon-processed-gene-1.0-mRNA-1
01	augustus_masked-ctg1076_pilon-processed-gene-0.24-mRNA-1
00	augustus_masked-ctg1077_pilon-processed-gene-0.5-mRNA-1
00	augustus_masked-ctg108_pilon-processed-gene-5.26-mRNA-1
00	augustus_masked-ctg108_pilon-processed-gene-5.27-mRNA-1
11	augustus_masked-ctg108_pilon-processed-gene-6.42-mRNA-1
11	augustus_masked-ctg108_pilon-processed-gene-7.142-mRNA-1
00	augustus_masked-ctg1085_pilon-processed-gene-0.23-mRNA-1
10	augustus_masked-ctg1086_pilon-processed-gene-0.20-mRNA-1
00	augustus_masked-ctg1087_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1088_pilon-processed-gene-0.17-mRNA-1
11	augustus_masked-ctg109_pilon-processed-gene-2.14-mRNA-1
00	augustus_masked-ctg1091_pilon-processed-gene-0.205-mRNA-1
00	augustus_masked-ctg1091_pilon-processed-gene-0.207-mRNA-1
00	augustus_masked-ctg1091_pilon-processed-gene-0.212-mRNA-1
00	augustus_masked-ctg1091_pilon-processed-gene-0.215-mRNA-1
00	augustus_masked-ctg1093_pilon-processed-gene-0.98-mRNA-1
00	augustus_masked-ctg1094_pilon-processed-gene-0.24-mRNA-1
01	augustus_masked-ctg1099_pilon-processed-gene-0.6-mRNA-1
01	augustus_masked-ctg11_pilon-processed-gene-2.57-mRNA-1
11	augustus_masked-ctg110_pilon-processed-gene-1.10-mRNA-1
00	augustus_masked-ctg110_pilon-processed-gene-4.44-mRNA-1
00	augustus_masked-ctg110_pilon-processed-gene-5.93-mRNA-1
00	augustus_masked-ctg110_pilon-processed-gene-5.95-mRNA-1
01	augustus_masked-ctg110_pilon-processed-gene-5.96-mRNA-1
00	augustus_masked-ctg1103_pilon-processed-gene-0.11-mRNA-1
00	augustus_masked-ctg1103_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1103_pilon-processed-gene-0.16-mRNA-1
00	augustus_masked-ctg1103_pilon-processed-gene-0.17-mRNA-1
00	augustus_masked-ctg1104_pilon-processed-gene-0.7-mRNA-1
00	augustus_masked-ctg1105_pilon-processed-gene-0.53-mRNA-1
00	augustus_masked-ctg1106_pilon-processed-gene-0.15-mRNA-1
11	augustus_masked-ctg111_pilon-processed-gene-0.36-mRNA-1
00	augustus_masked-ctg111_pilon-processed-gene-0.37-mRNA-1
00	augustus_masked-ctg111_pilon-processed-gene-3.8-mRNA-1
00	augustus_masked-ctg1111_pilon-processed-gene-1.6-mRNA-1
00	augustus_masked-ctg1114_pilon-processed-gene-0.16-mRNA-1
00	augustus_masked-ctg1123_pilon-processed-gene-0.58-mRNA-1
00	augustus_masked-ctg1126_pilon-processed-gene-0.36-mRNA-1
11	augustus_masked-ctg1126_pilon-processed-gene-0.42-mRNA-1
00	augustus_masked-ctg1126_pilon-processed-gene-0.46-mRNA-1
00	augustus_masked-ctg1129_pilon-processed-gene-0.56-mRNA-1
00	augustus_masked-ctg113_pilon-processed-gene-5.7-mRNA-1
01	augustus_masked-ctg1134_pilon-processed-gene-0.24-mRNA-1
00	augustus_masked-ctg1134_pilon-processed-gene-0.27-mRNA-1
00	augustus_masked-ctg1134_pilon-processed-gene-1.2-mRNA-1
00	augustus_masked-ctg1134_pilon-processed-gene-1.8-mRNA-1
01	augustus_masked-ctg1134_pilon-processed-gene-2.68-mRNA-1
00	augustus_masked-ctg1134_pilon-processed-gene-2.71-mRNA-1
01	augustus_masked-ctg1134_pilon-processed-gene-2.84-mRNA-1
00	augustus_masked-ctg1136_pilon-processed-gene-0.5-mRNA-1
00	augustus_masked-ctg1136_pilon-processed-gene-1.44-mRNA-1
00	augustus_masked-ctg114_pilon-processed-gene-1.31-mRNA-1
NA0	augustus_masked-ctg1140_pilon-processed-gene-0.10-mRNA-1
00	augustus_masked-ctg1140_pilon-processed-gene-0.25-mRNA-1
01	augustus_masked-ctg1143_pilon-processed-gene-0.45-mRNA-1
00	augustus_masked-ctg1143_pilon-processed-gene-0.50-mRNA-1
00	augustus_masked-ctg1149_pilon-processed-gene-0.15-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-1.10-mRNA-1
11	augustus_masked-ctg115_pilon-processed-gene-1.11-mRNA-1
11	augustus_masked-ctg115_pilon-processed-gene-13.29-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-13.52-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-3.5-mRNA-1
01	augustus_masked-ctg115_pilon-processed-gene-4.0-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-9.38-mRNA-1
00	augustus_masked-ctg1153_pilon-processed-gene-0.43-mRNA-1
11	augustus_masked-ctg1153_pilon-processed-gene-0.45-mRNA-1
01	augustus_masked-ctg1153_pilon-processed-gene-0.57-mRNA-1
00	augustus_masked-ctg1155_pilon-processed-gene-0.2-mRNA-1
00	augustus_masked-ctg1157_pilon-processed-gene-1.10-mRNA-1
00	augustus_masked-ctg1157_pilon-processed-gene-1.8-mRNA-1
00	augustus_masked-ctg1158_pilon-processed-gene-0.4-mRNA-1
00	augustus_masked-ctg1158_pilon-processed-gene-0.6-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-0.25-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-2.10-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-2.14-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-2.4-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-2.9-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-3.2-mRNA-1
00	augustus_masked-ctg116_pilon-processed-gene-4.11-mRNA-1
10	augustus_masked-ctg116_pilon-processed-gene-5.33-mRNA-1
00	augustus_masked-ctg1164_pilon-processed-gene-0.48-mRNA-1
