#chromosome = contig_id
#window_idx = genomic window index
#nanop_meth_frequency = mean methylation frequency from Nanopore data
#wgbs_meth_frequency = mean methylation frequency from WGBS data
#
chromosome	window_idx	nanop_meth_frequency	wgbs_meth_frequency
ctg1000_pilon	0.0	0.40472454545454545	0.41360447054129074
ctg1001_pilon	0.0	0.032209766495747874	0.027357578726863434
ctg1002_pilon	0.0	0.058206054948577536	0.05594401616134633
ctg1003_pilon	0.0	0.04146800464100464	0.035945751979251976
ctg1004_pilon	0.0	0.18197682595753994	0.18834962565112717
ctg1005_pilon	0.0	0.050311110133266286	0.044441641337691726
ctg1006_pilon	0.0	0.06746323765165536	0.05293684478922475
ctg1007_pilon	0.0	0.0631487800140581	0.056363971602624185
ctg1008_pilon	0.0	0.04506501885424221	0.04544704638627024
ctg1009_pilon	0.0	0.3173677632778489	0.3243735856338028
ctg100_pilon	0.0	0.0677149412840467	0.06129129536100303
ctg1010_pilon	0.0	0.582751201826484	0.5642461482648402
ctg1011_pilon	0.0	0.2434296276407337	0.24150587891629768
ctg1012_pilon	0.0	0.056223684557309535	0.05185721413864104
ctg1013_pilon	0.0	0.10113921680011237	0.10056767103525777
ctg1014_pilon	0.0	0.13016842441237114	0.10149860274226803
ctg1015_pilon	0.0	0.03512038162612036	0.039373186320956044
ctg1016_pilon	0.0	0.2940486395545601	0.304434689274605
ctg1017_pilon	0.0	0.1259420488140102	0.12544157471735756
ctg1018_pilon	0.0	0.18737710693172901	0.18827199461156158
ctg1019_pilon	0.0	0.20325229001533154	0.20907265080490608
ctg101_pilon	0.0	0.19976669947553266	0.19772295103722784
ctg101_pilon	1.0	0.21872594081632654	0.22561459431972788
ctg1020_pilon	0.0	0.16330231703803735	0.16718433423362591
ctg1021_pilon	0.0	0.044105940398328006	0.039332211524465206
ctg1022_pilon	0.0	0.7628339087523277	0.7926004783985102
ctg1023_pilon	0.0	0.028492575467386788	0.02602050259659327
ctg1024_pilon	0.0	0.02765021148287468	0.026714786794694117
ctg1025_pilon	0.0	0.14967343784261714	0.15499958702033598
ctg1026_pilon	0.0	0.5067621411149826	0.5109967643205575
